Links,Address,Description,Price
https://www.rightmove.co.uk/properties/122144360#/?channel=RES_BUY,"Blake Tower, 2 Fann Street, London",1 bedroom apartment for sale,"£715,000"
https://www.rightmove.co.uk/properties/121919759#/?channel=RES_BUY,Principal Place Worship Street EC2Y,3 bedroom apartment for sale,"£2,899,000"
https://www.rightmove.co.uk/properties/120269834#/?channel=RES_BUY,"Landmark Place, Sugar Quay, London, EC3R",1 bedroom apartment for sale,"£825,000"
https://www.rightmove.co.uk/properties/119463041#/?channel=RES_BUY,"One Bishopsgate Plaza, The City, London",2 bedroom apartment for sale,"£1,950,000"
https://www.rightmove.co.uk/properties/121986209#/?channel=RES_BUY,Moor Lane London EC2Y,Studio apartment for sale,"£600,000"
https://www.rightmove.co.uk/properties/123489659#/?channel=RES_BUY,"80 Houndsditch,London",2 bedroom apartment for sale,"£2,000,000"
https://www.rightmove.co.uk/properties/123489746#/?channel=RES_BUY,"Dyer′s Buildings, London, EC1N",2 bedroom flat for sale,"£1,595,000"
https://www.rightmove.co.uk/properties/123489662#/?channel=RES_BUY,"80 Houndsditch,London",3 bedroom apartment for sale,"£3,800,000"
https://www.rightmove.co.uk/properties/119402852#/?channel=RES_BUY,"Middlesex Street, London, E1",1 bedroom flat for sale,"£450,000"
https://www.rightmove.co.uk/properties/120135578#/?channel=RES_BUY,"Fetter Lane, Holborn, EC4A",1 bedroom apartment for sale,"£770,000"
https://www.rightmove.co.uk/properties/104567108#/?channel=RES_BUY,"Breams Buildings, City, London, EC4A",1 bedroom flat for sale,"£630,000"
https://www.rightmove.co.uk/properties/119866193#/?channel=RES_BUY,Shakespeare Tower Barbican EC2,3 bedroom apartment for sale,"£1,680,000"
https://www.rightmove.co.uk/properties/119760545#/?channel=RES_BUY,"Fetter Lane, Holborn, London, EC4A",2 bedroom apartment for sale,"£1,500,000"
https://www.rightmove.co.uk/properties/110993255#/?channel=RES_BUY,"Underwood Building, Barts Sqaure, London, EC1A",1 bedroom flat for sale,"£810,000"
https://www.rightmove.co.uk/properties/117356900#/?channel=RES_BUY,"Bishopsgate, London, EC2N",Hotel room for sale,"£125,000"
https://www.rightmove.co.uk/properties/116743475#/?channel=RES_BUY,"The Heron, EC2Y",2 bedroom apartment for sale,"£1,200,000"
https://www.rightmove.co.uk/properties/76183800#/?channel=RES_BUY,"Monkwell Square, London, EC2Y",4 bedroom terraced house for sale,"£2,500,000"
https://www.rightmove.co.uk/properties/82267581#/?channel=RES_BUY,"Moor Lane, Moorgate, London, EC2Y",2 bedroom flat for sale,"£1,400,000"
https://www.rightmove.co.uk/properties/82168029#/?channel=RES_BUY,"Dyer's Building, Pink Mews, EC1",2 bedroom apartment for sale,"£1,595,000"
https://www.rightmove.co.uk/properties/113650259#/?channel=RES_BUY,"Pinks Mews, Holborn, EC1N",2 bedroom penthouse for sale,"£1,900,000"
https://www.rightmove.co.uk/properties/112478984#/?channel=RES_BUY,"Pinks Mews, The Dyers Building, Holborn, EC1N",2 bedroom apartment for sale,"£1,695,000"
https://www.rightmove.co.uk/properties/125874623#/?channel=RES_BUY,"133-137 Fetter Lane, London, EC4A",2 bedroom apartment for sale,"£1,375,000"
https://www.rightmove.co.uk/properties/109494014#/?channel=RES_BUY,"One Bishopsgate Plaza, City of London, EC2A",2 bedroom apartment for sale,"£1,990,000"
https://www.rightmove.co.uk/properties/94206080#/?channel=RES_BUY,"Vicary House, Bartholomew Close, Barts Square, EC1A",1 bedroom apartment for sale,"£899,000"
https://www.rightmove.co.uk/properties/90731287#/?channel=RES_BUY,"City Road, London, EC1V",1 bedroom apartment for sale,"£980,000"
